first,middle,last,pid,state,num_hearings,num_bills,num_utterances,uid,url
Sarah,,Keillor,19096,CA,1,1,1,6020901,https://demo.digitaldemocracy.org/hearing/1123?startTime=516&vid=Yn1o1nE92_E
Stan,,Prentice,19098,CA,1,1,3,6019138,https://demo.digitaldemocracy.org/hearing/1123?startTime=1219&vid=OWe7oVUYlXg
Anoosh,,Jorjorian,19099,CA,1,1,1,6020913,https://demo.digitaldemocracy.org/hearing/1123?startTime=545&vid=Yn1o1nE92_E
Sonia,,Grandsindel,19102,CA,1,1,1,6020919,https://demo.digitaldemocracy.org/hearing/1123?startTime=561&vid=Yn1o1nE92_E
Barbara,,Ramirez,19103,CA,1,1,1,6020925,https://demo.digitaldemocracy.org/hearing/1123?startTime=578&vid=Yn1o1nE92_E
Norah,,Weinstein,19106,CA,1,1,12,6032787,https://demo.digitaldemocracy.org/hearing/1125?startTime=218&vid=S7OMVq3ewEY
Gabriela,,Lopez,19107,CA,1,1,8,6032815,https://demo.digitaldemocracy.org/hearing/1125?startTime=483&vid=S7OMVq3ewEY
Yvette,,Gullatt,19109,CA,1,1,38,5999280,https://demo.digitaldemocracy.org/hearing/1120?startTime=629&vid=2YenZ_S6SyE
Gary,,Fleming,19111,CA,1,1,104,5998225,https://demo.digitaldemocracy.org/hearing/1120?startTime=937&vid=Wc7aDuSqTEw
Paul,,Brooks,19113,CA,1,1,2,6001647,https://demo.digitaldemocracy.org/hearing/1120?startTime=854&vid=iG8tx5Up2yQ
Brett,,Cook,19114,CA,1,1,4,6001685,https://demo.digitaldemocracy.org/hearing/1120?startTime=940&vid=iG8tx5Up2yQ
Michael,,Avat,19115,CA,1,1,2,6001717,https://demo.digitaldemocracy.org/hearing/1120?startTime=1006&vid=iG8tx5Up2yQ
Ridge,,Kelly,19116,CA,1,1,2,6001741,https://demo.digitaldemocracy.org/hearing/1120?startTime=1060&vid=iG8tx5Up2yQ
Elizabeth,,Gunther,19117,CA,1,1,4,6001821,https://demo.digitaldemocracy.org/hearing/1120?startTime=1242&vid=iG8tx5Up2yQ
Summer,,Norman,19118,CA,1,1,5,6001891,https://demo.digitaldemocracy.org/hearing/1120?startTime=1401&vid=iG8tx5Up2yQ
Jobe,,Shay,19119,CA,1,1,2,6001937,https://demo.digitaldemocracy.org/hearing/1120?startTime=1486&vid=iG8tx5Up2yQ
Maryann,,Masenburg,19120,CA,1,1,3,6001959,https://demo.digitaldemocracy.org/hearing/1120?startTime=1526&vid=iG8tx5Up2yQ
Stan,,Zeto,19121,CA,1,1,1,6007467,https://demo.digitaldemocracy.org/hearing/1121?startTime=1344&vid=QhEoO8zzpS4
Helen,,Torres,19131,CA,1,1,5,6099159,https://demo.digitaldemocracy.org/hearing/1132?startTime=77&vid=OA7L0mY2ylc
Lisa,,Cannon,19138,CA,1,1,1,6110774,https://demo.digitaldemocracy.org/hearing/1134?startTime=1020&vid=wN6ME60zeno
Bruce,,Neuberger,19139,CA,1,1,1,6110784,https://demo.digitaldemocracy.org/hearing/1134?startTime=1066&vid=wN6ME60zeno
Marshall,,Soto,19140,CA,1,1,1,6110792,https://demo.digitaldemocracy.org/hearing/1134?startTime=1080&vid=wN6ME60zeno
Gladys,,Lopez,19141,CA,1,1,1,6110796,https://demo.digitaldemocracy.org/hearing/1134?startTime=1091&vid=wN6ME60zeno
Barbara,,Martinez,19142,CA,1,1,1,6110798,https://demo.digitaldemocracy.org/hearing/1134?startTime=1097&vid=wN6ME60zeno
Janet,,Thayer,19143,CA,1,1,1,6110804,https://demo.digitaldemocracy.org/hearing/1134?startTime=1115&vid=wN6ME60zeno
Anzo,,Mutavit,19145,CA,1,1,1,6110812,https://demo.digitaldemocracy.org/hearing/1134?startTime=1137&vid=wN6ME60zeno
Cindy,,Luen,19147,CA,1,1,1,6110834,https://demo.digitaldemocracy.org/hearing/1134?startTime=1206&vid=wN6ME60zeno
Satina,,Pascone,19149,CA,1,1,1,6112070,https://demo.digitaldemocracy.org/hearing/1134?startTime=235&vid=YjuCXGcojvg
Ginger,,Harris,19150,CA,1,1,3,6112168,https://demo.digitaldemocracy.org/hearing/1134?startTime=729&vid=YjuCXGcojvg
Kayleigh,,Jones,19152,CA,1,1,1,6114553,https://demo.digitaldemocracy.org/hearing/1134?startTime=1999&vid=w41QqOuxIfo
Jerry,,Way,19174,CA,1,1,8,5929571,https://demo.digitaldemocracy.org/hearing/1113?startTime=275&vid=YHf90QVQsIY
Bill,,Trezac,19175,CA,1,1,10,5929591,https://demo.digitaldemocracy.org/hearing/1113?startTime=439&vid=YHf90QVQsIY
